state,postal.code,south,poverty.pct,white.pct,inf.mort,welfare
Alabama,AL,1,16.89,69.23,7.36,"10,570"
Alaska,AK,0,11.11,65.74,5.65,"32,206"
Arizona,AZ,0,14.86,82.99,5.73,"14,236"
Arkansas,AR,1,16.40,79.24,8.18,"15,548"
California,CA,0,13.30,72.42,4.18,"21,684"
Colorado,CO,0,10.29,87.26,4.52,"14,800"
Connecticut,CT,0,9.59,80.35,4.54,"11,425"
Delaware,DE,0,13.58,69.82,6.63,"19,759"
District of Columbia,DC,0,16.64,45.13,8.05,"35,752"
Florida,FL,1,14.05,77.46,6.07,"9,718"
Georgia,GA,1,14.95,60.82,7.21,"8,011"
Hawaii,HI,0,9.55,25.79,5.25,"23,280"
Idaho,ID,0,12.83,93.18,4.60,"11,661"
Illinois,IL,0,12.55,77.04,6.10,"14,445"
Indiana,IN,0,13.48,85.34,7.30,"16,005"
Iowa,IA,0,10.73,91.04,5.28,"17,298"
Kansas,KS,0,11.90,86.52,6.05,"12,300"
Kentucky,KY,0,17.24,87.76,6.48,"15,380"
Louisiana,LA,1,19.75,62.99,7.06,"12,579"
Maine,ME,0,11.07,94.67,5.69,"22,196"
Maryland,MD,0,9.28,59.06,6.42,"24,040"
Massachusetts,MA,0,10.45,81.23,3.71,"32,142"
Michigan,MI,0,14.16,79.42,6.78,"12,403"
Minnesota,MN,0,9.49,84.44,4.78,"28,827"
Mississippi,MS,1,19.77,59.22,8.62,"11,150"
Missouri,MO,0,13.42,83.10,6.24,"11,832"
Montana,MT,0,12.47,89.03,5.42,"17,481"
Nebraska,NE,0,10.77,88.53,5.58,"14,079"
Nevada,NV,0,13.00,74.75,5.82,"10,192"
New Hampshire,NH,0,7.70,93.35,4.21,"24,379"
New Jersey,NJ,0,9.99,72.33,4.47,"20,046"
New Mexico,NM,0,19.65,82.15,5.89,"15,040"
New York,NY,0,14.08,69.90,4.56,"25,844"
North Carolina,NC,1,14.70,70.79,7.05,"10,279"
North Dakota,ND,0,10.32,87.44,4.28,"20,400"
Ohio,OH,0,13.97,82.12,7.18,"18,128"
Oklahoma,OK,0,15.83,74.35,7.71,"11,218"
Oregon,OR,0,13.24,87.04,5.41,"19,507"
Pennsylvania,PA,0,12.49,82.05,6.11,"22,135"
Rhode Island,RI,0,11.62,84.18,6.20,"26,188"
South Carolina,SC,1,15.40,68.47,6.51,"10,617"
South Dakota,SD,0,13.00,84.66,7.75,"10,622"
Tennessee,TN,1,14.95,78.59,7.37,"11,945"
Texas,TX,1,14.73,79.11,5.86,"9,360"
Utah,UT,0,9.71,90.90,5.87,"13,203"
Vermont,VT,0,11.31,94.41,4.77,"27,221"
Virginia,VA,1,10.64,69.76,5.90,"13,754"
Washington,WA,0,11.03,79.40,3.89,"15,444"
West Virginia,WV,0,19.08,93.56,7.01,"14,929"
Wisconsin,WI,0,11.33,87.24,6.37,"19,857"
Wyoming,WY,0,11.33,92.75,4.64,"13,491"
